/sm	OFF
/sc	ON
/sd	OFF
/fpo	pd	8.00 6.00
/td	"xy"
1.785917e-001	4.036847e+001
1.794760e-001	4.056831e+001
1.803602e-001	4.076815e+001
1.812445e-001	4.096799e+001
1.821288e-001	4.116783e+001
1.830131e-001	4.136767e+001
1.838974e-001	4.156751e+001
1.847817e-001	4.176735e+001
1.856661e-001	4.196719e+001
1.865504e-001	4.216703e+001
1.874347e-001	4.236687e+001
1.883190e-001	4.256671e+001
1.892033e-001	4.276655e+001
1.900876e-001	4.296639e+001
1.909720e-001	4.316623e+001
1.918563e-001	4.336607e+001
1.927406e-001	4.356591e+001
1.936250e-001	4.376575e+001
1.945093e-001	4.396559e+001
1.953937e-001	4.416543e+001
1.962780e-001	4.436527e+001
1.971624e-001	4.456511e+001
1.980467e-001	4.476495e+001
1.989311e-001	4.496479e+001
1.998154e-001	4.516463e+001
2.006998e-001	4.536447e+001
2.015842e-001	4.556431e+001
2.024685e-001	4.576415e+001
2.033529e-001	4.596399e+001
2.042373e-001	4.616383e+001
2.051217e-001	4.636367e+001
2.060060e-001	4.656351e+001
2.068904e-001	4.676335e+001
2.077748e-001	4.696319e+001
2.086592e-001	4.716303e+001
2.095436e-001	4.736287e+001
2.104280e-001	4.756271e+001
2.113124e-001	4.776255e+001
2.121968e-001	4.796239e+001
2.130812e-001	4.816223e+001
2.139657e-001	4.836207e+001
2.148501e-001	4.856191e+001
2.157345e-001	4.876175e+001
2.166189e-001	4.896159e+001
2.175033e-001	4.916143e+001
2.183878e-001	4.936127e+001
2.192722e-001	4.956111e+001
2.201567e-001	4.976095e+001
2.210411e-001	4.996079e+001
2.219256e-001	5.016063e+001
2.228100e-001	5.036047e+001
2.236945e-001	5.056031e+001
2.245789e-001	5.076015e+001
2.254634e-001	5.095999e+001
2.263479e-001	5.115983e+001
2.272323e-001	5.135967e+001
2.281168e-001	5.155951e+001
2.290013e-001	5.175935e+001
2.298858e-001	5.195919e+001
2.307703e-001	5.215903e+001
2.316548e-001	5.235887e+001
2.325392e-001	5.255871e+001
2.334237e-001	5.275855e+001
2.343083e-001	5.295839e+001
2.351928e-001	5.315823e+001
2.360773e-001	5.335807e+001
2.369618e-001	5.355791e+001
2.378463e-001	5.375775e+001
2.387308e-001	5.395759e+001
2.396154e-001	5.415743e+001
2.404999e-001	5.435727e+001
2.413844e-001	5.455711e+001
2.422690e-001	5.475695e+001
2.431535e-001	5.495679e+001
2.440381e-001	5.515663e+001
2.449226e-001	5.535647e+001
2.458072e-001	5.555631e+001
2.466918e-001	5.575615e+001
2.475763e-001	5.595599e+001
2.484609e-001	5.615583e+001
2.493455e-001	5.635567e+001
2.502301e-001	5.655551e+001
2.511146e-001	5.675535e+001
2.519992e-001	5.695519e+001
2.528838e-001	5.715503e+001
2.537684e-001	5.735487e+001
2.546530e-001	5.755471e+001
2.555376e-001	5.775455e+001
2.564223e-001	5.795439e+001
2.573069e-001	5.815423e+001
2.581915e-001	5.835407e+001
2.590761e-001	5.855391e+001
2.599608e-001	5.875375e+001
2.608454e-001	5.895359e+001
2.617300e-001	5.915343e+001
2.626147e-001	5.935327e+001
2.634993e-001	5.955311e+001
2.643840e-001	5.975295e+001
2.652687e-001	5.995279e+001
2.661533e-001	6.015263e+001
2.670380e-001	6.035247e+001
2.679227e-001	6.055231e+001
2.688074e-001	6.075215e+001
2.696920e-001	6.095199e+001
2.705767e-001	6.115183e+001
2.714614e-001	6.135167e+001
2.723461e-001	6.155151e+001
2.732308e-001	6.175135e+001
2.741155e-001	6.195119e+001
2.750003e-001	6.215103e+001
2.758850e-001	6.235087e+001
2.767697e-001	6.255071e+001
2.776544e-001	6.275055e+001
2.785392e-001	6.295039e+001
2.794239e-001	6.315023e+001
2.803087e-001	6.335007e+001
2.811934e-001	6.354991e+001
2.820782e-001	6.374975e+001
2.829630e-001	6.394959e+001
2.838477e-001	6.414943e+001
2.847325e-001	6.434927e+001
2.856173e-001	6.454911e+001
2.865021e-001	6.474895e+001
2.873869e-001	6.494879e+001
2.882717e-001	6.514863e+001
2.891565e-001	6.534847e+001
2.900413e-001	6.554831e+001
2.909261e-001	6.574815e+001
2.918109e-001	6.594799e+001
2.926957e-001	6.614783e+001
2.935806e-001	6.634767e+001
2.944654e-001	6.654751e+001
2.953502e-001	6.674735e+001
2.962351e-001	6.694719e+001
2.971199e-001	6.714703e+001
2.980048e-001	6.734687e+001
2.988897e-001	6.754671e+001
2.997745e-001	6.774655e+001
3.006594e-001	6.794639e+001
3.015443e-001	6.814623e+001
3.024292e-001	6.834607e+001
3.033141e-001	6.854591e+001
3.041990e-001	6.874575e+001
3.050839e-001	6.894559e+001
3.059688e-001	6.914543e+001
3.068537e-001	6.934527e+001
3.077387e-001	6.954511e+001
3.086236e-001	6.974495e+001
3.095085e-001	6.994479e+001
3.103935e-001	7.014463e+001
3.112784e-001	7.034447e+001
3.121634e-001	7.054431e+001
3.130484e-001	7.074415e+001
3.139333e-001	7.094399e+001
3.148183e-001	7.114383e+001
3.157033e-001	7.134367e+001
3.165883e-001	7.154351e+001
3.174733e-001	7.174335e+001
3.183583e-001	7.194319e+001
3.192433e-001	7.214303e+001
3.201283e-001	7.234287e+001
3.210133e-001	7.254271e+001
3.218984e-001	7.274255e+001
3.227834e-001	7.294239e+001
3.236684e-001	7.314223e+001
3.245535e-001	7.334207e+001
3.254386e-001	7.354191e+001
3.263236e-001	7.374175e+001
3.272087e-001	7.394159e+001
3.280938e-001	7.414143e+001
3.289788e-001	7.434127e+001
3.298639e-001	7.454111e+001
3.307490e-001	7.474095e+001
3.316341e-001	7.494079e+001
3.325193e-001	7.514063e+001
3.334044e-001	7.534047e+001
3.342895e-001	7.554031e+001
3.351746e-001	7.574015e+001
3.360598e-001	7.593999e+001
3.369449e-001	7.613983e+001
3.378301e-001	7.633967e+001
3.387152e-001	7.653951e+001
3.396004e-001	7.673935e+001
3.404856e-001	7.693919e+001
3.413708e-001	7.713903e+001
3.422560e-001	7.733887e+001
3.431412e-001	7.753871e+001
3.440264e-001	7.773855e+001
3.449116e-001	7.793839e+001
3.457968e-001	7.813823e+001
3.466820e-001	7.833807e+001
3.475673e-001	7.853791e+001
3.484525e-001	7.873775e+001
3.493378e-001	7.893759e+001
3.502230e-001	7.913743e+001
3.511083e-001	7.933727e+001
3.519936e-001	7.953711e+001
3.528789e-001	7.973695e+001
3.537642e-001	7.993679e+001
3.546495e-001	8.013663e+001
3.555348e-001	8.033647e+001
3.564201e-001	8.053631e+001
3.573054e-001	8.073615e+001
3.581908e-001	8.093599e+001
3.590761e-001	8.113583e+001
3.599614e-001	8.133567e+001
3.608468e-001	8.153551e+001
3.617322e-001	8.173535e+001
3.626175e-001	8.193519e+001
3.635029e-001	8.213503e+001
3.643883e-001	8.233487e+001
3.652737e-001	8.253471e+001
3.661591e-001	8.273455e+001
3.670445e-001	8.293439e+001
3.679300e-001	8.313423e+001
3.688154e-001	8.333407e+001
3.697008e-001	8.353391e+001
3.705863e-001	8.373375e+001
3.714718e-001	8.393359e+001
3.723572e-001	8.413343e+001
3.732427e-001	8.433327e+001
3.741282e-001	8.453311e+001
3.750137e-001	8.473295e+001
3.758992e-001	8.493279e+001
3.767847e-001	8.513263e+001
3.776702e-001	8.533247e+001
3.785558e-001	8.553231e+001
3.794413e-001	8.573215e+001
3.803268e-001	8.593199e+001
3.812124e-001	8.613183e+001
3.820980e-001	8.633167e+001
3.829835e-001	8.653151e+001
3.838691e-001	8.673135e+001
3.847547e-001	8.693119e+001
3.856403e-001	8.713103e+001
3.865259e-001	8.733087e+001
3.874116e-001	8.753071e+001
3.882972e-001	8.773055e+001
3.891829e-001	8.793039e+001
3.900685e-001	8.813023e+001
3.909542e-001	8.833007e+001
3.918398e-001	8.852991e+001
3.927255e-001	8.872975e+001
3.936112e-001	8.892959e+001
3.944969e-001	8.912943e+001
3.953826e-001	8.932927e+001
3.962684e-001	8.952911e+001
3.971541e-001	8.972895e+001
3.980398e-001	8.992879e+001
3.989256e-001	9.012863e+001
3.998113e-001	9.032847e+001
4.006971e-001	9.052831e+001
4.015829e-001	9.072815e+001
4.024687e-001	9.092799e+001
4.033545e-001	9.112783e+001
4.042403e-001	9.132767e+001
4.051261e-001	9.152751e+001
4.060120e-001	9.172735e+001
4.068978e-001	9.192719e+001
4.077837e-001	9.212703e+001
4.086695e-001	9.232687e+001
4.095554e-001	9.252671e+001
4.104413e-001	9.272655e+001
4.113272e-001	9.292639e+001
4.122131e-001	9.312623e+001
4.130991e-001	9.332607e+001
4.139850e-001	9.352591e+001
4.148709e-001	9.372575e+001
4.157569e-001	9.392559e+001
4.166429e-001	9.412543e+001
4.175288e-001	9.432527e+001
4.184148e-001	9.452511e+001
4.193008e-001	9.472494e+001
4.201868e-001	9.492478e+001
4.210729e-001	9.512462e+001
4.219589e-001	9.532446e+001
4.228449e-001	9.552430e+001
4.237310e-001	9.572414e+001
4.246171e-001	9.592398e+001
